datasheet_id,project_code,trap_unique_id,location_name,site,utm_easting,utm_northing,latitude,longitude,trap_style,trapping_year,trapping_month,season,start_datetime,end_datetime,elapsed_time_hours,target,prev_capture,usgs_id,cam_name,bait,trap_condition,foil_crush,comments,observers,doi_id,tegu_mass_g,tegu_svl_mm,tegu_tl_mm,sex,tail_regen,proof2_questions,source_file,source_sheet,source_year,row_number
,TEGUTRAP2019,0,110.01,C-110E,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,1
,TEGUTRAP2019,0,110.02,C-110E,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,2
,TEGUTRAP2019,0,110.03,C-110E,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,3
,TEGUTRAP2019,0,110.04,C-110E,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,4
,TEGUTRAP2019,0,111.02,C-111SW,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,5
,TEGUTRAP2019,0,111.03,C-111SW,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,6
,TEGUTRAP2019,0,111.04,C-111SW,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,7
,TEGUTRAP2019,0,111.05,C-111SW,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,8
,TEGUTRAP2019,0,111.06,C-111SW,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,9
,TEGUTRAP2019,0,111.07,C-111SW,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,10
,TEGUTRAP2019,0,111.08,C-111SW,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,11
,TEGUTRAP2019,0,111.09,C-111SW,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,12
,TEGUTRAP2019,0,111.10,C-111SW,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,13
,TEGUTRAP2019,0,111.11,C-111SW,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,14
,TEGUTRAP2019,0,111.12,C-111SW,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,15
,TEGUTRAP2019,0,111.13,C-111SW,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,16
,TEGUTRAP2019,0,111.14,C-111SW,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,17
,TEGUTRAP2019,0,111.15,C-111SW,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,18
,TEGUTRAP2019,0,111.16,C-111SW,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,19
,TEGUTRAP2019,0,111.17,C-111SW,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,20
,TEGUTRAP2019,0,111.18,C-111SW,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,21
